"inventory_row_number","finding_identity_digest","path","symbol","method","operation","table","writer_kind","dynamic_sql","live_source_sha256","source_span_start","source_span_end","schema_version","blocker_count","blockers"
"376","76ecc8dd2ddb262d99866402f7706161dae2df061367be82b5fcf9d58a8c86fb","services/client_payment_writer.py","record_client_payment_transaction_with_cursor","execute","UPDATE","client_payments","static_sql_mutation",,"032264f341958494e54c43bb7f8d9d1c2d6aa4fa369a2c216f78bea8a729f2ae",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"377","3b205abba5242bd3990cd0bc8968a2c66639c538b595f925147bbe7da9c86977","services/client_receipt_reconciliation.py","reconcile_client_receipt","execute","UPDATE","finance_import_rows","static_sql_mutation",,"bb811631dfb7665e7f44ec25bb3e0f5184a7c4eaea1a4b5b5e9aaed0a93f317d",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"378","0e3b9173cf9b95d957dfd69c941d9f944a4d95ced9e9104853a297153e019a56","services/client_subsidy_return_obligations.py","activate_subsidy_return_obligation","execute","UPDATE","client_payments","static_sql_mutation",,"8a92c40f2146780770d95d4c3ade2831698473e58ee08c48c2dc2e6fd5e3fa4b",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"379","61bf7844ecbf34b06a3072be062ab6e2003b7e999604af83482f60d55829a621","services/client_subsidy_return_transactions.py","record_client_subsidy_return","execute","INSERT","client_payment_transactions","static_sql_mutation",,"e3073db9b149be562e12d5bda4610678b1cbda5b1cb860f3e3d21fff8cec32fa",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"380","a3f437866e6e845f03e1892f4f36fa60b4ff2f6220b5a05478500a0a9173f2d1","services/client_subsidy_return_transactions.py","record_client_subsidy_return","execute","UPDATE","client_payments","static_sql_mutation",,"e3073db9b149be562e12d5bda4610678b1cbda5b1cb860f3e3d21fff8cec32fa",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"381","23fdd73b380514b265770cd86d7caf5a081a201b455297dc58356951c98c30b8","services/client_subsidy_return_transactions.py","record_client_subsidy_return","execute","UPDATE","finance_import_rows","static_sql_mutation",,"e3073db9b149be562e12d5bda4610678b1cbda5b1cb860f3e3d21fff8cec32fa",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"382","ff4e66cc6c481bc71c94f86a8192ee2a567032ea4642d1bd4ed90dc04b4e27c1","services/data_browser_admin_audit_log_service.py","record_data_browser_patch_audit","commit","COMMIT","-","transaction_boundary",,"451935922c3f2b3c1ddfff85d53552bc31323951770dbd617ba78cc150d62070",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"383","2bf6a5115ddcb3dfb81b3d975b2fd362d6a8e984c61a68c8989ddc0b8dc1a198","services/data_browser_admin_audit_log_service.py","record_data_browser_patch_audit","execute","DYNAMIC","unknown","dynamic_sql_unresolved",,"451935922c3f2b3c1ddfff85d53552bc31323951770dbd617ba78cc150d62070",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"384","57c1d0b53c6d5722ac26dfe8aaab1d2f768c2fa887f0a267dd3affe3f9874e79","services/data_browser_admin_audit_log_service.py","record_data_browser_patch_audit","execute","DYNAMIC","unknown","dynamic_sql_unresolved",,"451935922c3f2b3c1ddfff85d53552bc31323951770dbd617ba78cc150d62070",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"385","f437f55116762a0a079cfc51bb975a8efdd3266ce41171e2bd6474ed2da902cf","services/data_browser_admin_schema_service.py","patch_data_browser_table_row","commit","COMMIT","-","transaction_boundary",,"f28a9d94579bfb5743d7ab404a7bf8860973f0676d664422d580f732e2361955",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"386","7d2ec9977485dfee4b28be319c610cd891523832c3fb5727c1b954e74f619ffe","services/db_service.py","_sync_client_payment_due_dates_with_cursor","execute","UPDATE","client_payments","static_sql_mutation",,"aed946015ab6b94fb92a26a8e902c9b4416b2839d1092ed2d31ba592e3a84708",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"387","3ec5ea3176db2549de2b2be2ee90aedd82244b689deb83f6a962a2332a7ae482","services/db_service.py","_sync_client_payment_due_dates_with_cursor","execute","UPDATE","client_payments","static_sql_mutation",,"aed946015ab6b94fb92a26a8e902c9b4416b2839d1092ed2d31ba592e3a84708",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"388","97247425465b68001b30074c64bb1d7e17ec9226d48f6892da7ef12099b5bf76","services/db_service.py","add_or_update_holiday","commit","COMMIT","-","transaction_boundary",,"aed946015ab6b94fb92a26a8e902c9b4416b2839d1092ed2d31ba592e3a84708",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"389","e9f9931cfb04ef668db005479f33de1a8310f20e6df2fca86dd7c34981e24edb","services/db_service.py","add_or_update_holiday","execute","INSERT","holidays","static_sql_mutation",,"aed946015ab6b94fb92a26a8e902c9b4416b2839d1092ed2d31ba592e3a84708",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"390","c6a5544335664211f3f911a136804ba0369f8a7911c30ba21ae433904da97f73","services/db_service.py","backfill_client_payment_due_dates","commit","COMMIT","-","transaction_boundary",,"aed946015ab6b94fb92a26a8e902c9b4416b2839d1092ed2d31ba592e3a84708",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"391","8f9e20a0fbeabd5cbc822b8723a6496d56e81d0534fe31fc42efe197e1c20431","services/db_service.py","create_order","commit","COMMIT","-","transaction_boundary",,"aed946015ab6b94fb92a26a8e902c9b4416b2839d1092ed2d31ba592e3a84708",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"392","c4a4515ff92ff8c93465af18d922d69f5bbf76530535566b50cfad05146a1e3b","services/db_service.py","create_order","execute","INSERT","orders","static_sql_mutation",,"aed946015ab6b94fb92a26a8e902c9b4416b2839d1092ed2d31ba592e3a84708",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"393","755eb28bcea9405e923b98e95ed0c5641a8578ef85a86888995b72eea4dc5aa2","services/db_service.py","create_order","execute","INSERT","unknown","static_sql_mutation",,"aed946015ab6b94fb92a26a8e902c9b4416b2839d1092ed2d31ba592e3a84708",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"394","f8171ed63b3600dc04992c5de0be44a6db779b9bc5b5938d52ad673d99399e28","services/db_service.py","delete_holiday","commit","COMMIT","-","transaction_boundary",,"aed946015ab6b94fb92a26a8e902c9b4416b2839d1092ed2d31ba592e3a84708",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"395","9346fefff95a6ec157865a95e0bfcbb59ba1ed6d44530578dde7f379b6c5d819","services/db_service.py","delete_holiday","execute","DELETE","holidays","static_sql_mutation",,"aed946015ab6b94fb92a26a8e902c9b4416b2839d1092ed2d31ba592e3a84708",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"396","9bacbf3efdc465396f843eba7f252849fb4717d2245d5df6ce5effcdbbe80e2d","services/db_service.py","mark_resume_sent","commit","COMMIT","-","transaction_boundary",,"aed946015ab6b94fb92a26a8e902c9b4416b2839d1092ed2d31ba592e3a84708",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"397","1a209bd802951551f400c64174a46de7dd5205f9a56175efb7e42deb5de36213","services/db_service.py","mark_resume_sent","execute","UPDATE","matching_records","static_sql_mutation",,"aed946015ab6b94fb92a26a8e902c9b4416b2839d1092ed2d31ba592e3a84708",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"398","fde541b9faa8e05d59deffd343f63841b9a4309f4e6cc36a6d31ce4252e88594","services/db_service.py","mark_resume_sent_for_case","commit","COMMIT","-","transaction_boundary",,"aed946015ab6b94fb92a26a8e902c9b4416b2839d1092ed2d31ba592e3a84708",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"399","72c4af9154d4e6a99aac2e599c44e512b2d6f74c6cece6d8f3b3ad4eddfce944","services/db_service.py","mark_resume_sent_for_case","execute","UPDATE","matching_records","static_sql_mutation",,"aed946015ab6b94fb92a26a8e902c9b4416b2839d1092ed2d31ba592e3a84708",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
"400","a4a6911b3edb8224b767e87ac5e1a8a7508f8c2300b479935d353bea8b65d653","services/db_service.py","reply_matching_inquiry","commit","COMMIT","-","transaction_boundary",,"aed946015ab6b94fb92a26a8e902c9b4416b2839d1092ed2d31ba592e3a84708",,,,"4","semantic_disposition_missing,caller_manifest_missing,replacement_receipt_missing,removal_approval_missing"
